福建频道v6,#genre#
江西卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227209/index.m3u8?servicetype=1
康巴卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221225856/index.m3u8?servicetype=1
辽宁卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221225832/index.m3u8?servicetype=1
辽宁卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227141/index.m3u8?servicetype=1
辽宁卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227460/index.m3u8?servicetype=1
内蒙古卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221225846/index.m3u8?servicetype=1
内蒙古卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227244/index.m3u8?servicetype=1
宁夏卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221225849/index.m3u8?servicetype=1
宁夏卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227254/index.m3u8?servicetype=1
青海卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221225841/index.m3u8?servicetype=1
青海卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227119/index.m3u8?servicetype=1
三沙卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227172/index.m3u8?servicetype=1
山东卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221225843/index.m3u8?servicetype=1
山东卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227236/index.m3u8?servicetype=1
山西卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221225839/index.m3u8?servicetype=1
山西卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227258/index.m3u8?servicetype=1
陕西卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221225850/index.m3u8?servicetype=1
陕西卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227221/index.m3u8?servicetype=1
四川卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221225835/index.m3u8?servicetype=1
四川卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227182/index.m3u8?servicetype=1
天津卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221225830/index.m3u8?servicetype=1
天津卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227205/index.m3u8?servicetype=1
卫视9画面,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221226866/index.m3u8?servicetype=1
西藏卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227217/index.m3u8?servicetype=1
新疆卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221225852/index.m3u8?servicetype=1
新疆卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227248/index.m3u8?servicetype=1
延边卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227330/index.m3u8?servicetype=1
云南卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221225853/index.m3u8?servicetype=1
云南卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227181/index.m3u8?servicetype=1
重庆卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221225831/index.m3u8?servicetype=1
重庆卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227240/index.m3u8?servicetype=1

影视频道v6,#genre#
动作电影,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221225879/index.m3u8?servicetype=1
黑莓电影,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227448/index.m3u8?servicetype=1
爱情喜剧,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227462/index.m3u8?servicetype=1
古装剧场,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227307/index.m3u8?servicetype=1
家庭剧场,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227457/index.m3u8?servicetype=1
精品大剧,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227315/index.m3u8?servicetype=1
军旅剧场,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227465/index.m3u8?servicetype=1
惊悚悬疑,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227466/index.m3u8?servicetype=1
中国功夫,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227473/index.m3u8?servicetype=1
潮妈辣婆,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227311/index.m3u8?servicetype=1

动画和其它v6,#genre#
哒啵电竞,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227252/index.m3u8?servicetype=1
哒啵赛事,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227331/index.m3u8?servicetype=1
购物,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227327/index.m3u8?servicetype=1
优购物,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227319/index.m3u8?servicetype=1
fj动画65,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221226560/index.m3u8?servicetype=1
fj动画65,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221226564/index.m3u8?servicetype=1
fj动画65,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221226565/index.m3u8?servicetype=1
fj动画65,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221226568/index.m3u8?servicetype=1
fj动画65,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221226569/index.m3u8?servicetype=1
fj动画65,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221226573/index.m3u8?servicetype=1
fj动画65,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221226599/index.m3u8?servicetype=1
fj动画66,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221226603/index.m3u8?servicetype=1
fj动画66,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221226638/index.m3u8?servicetype=1
fj动画66,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221226642/index.m3u8?servicetype=1
fj动画66,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221226646/index.m3u8?servicetype=1
fj动画68,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221226895/index.m3u8?servicetype=1
北京纪实科教,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221225944/index.m3u8?servicetype=1
山东教育卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227474/index.m3u8?servicetype=1
茶频道,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221226859/index.m3u8?servicetype=1
风味人间,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227478/index.m3u8?servicetype=1
哈哈炫动,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227335/index.m3u8?servicetype=1
黑莓动画,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227303/index.m3u8?servicetype=1
环球奇观,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227490/index.m3u8?servicetype=1
嘉佳卡通,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227230/index.m3u8?servicetype=1
金牌综艺,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227469/index.m3u8?servicetype=1
金鹰纪实,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221226937/index.m3u8?servicetype=1
金鹰卡通,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227018/index.m3u8?servicetype=1
睛彩广场舞,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227343/index.m3u8?servicetype=1
睛彩竞技,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227047/index.m3u8?servicetype=1
睛彩篮球,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227158/index.m3u8?servicetype=1
睛彩青少,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227314/index.m3u8?servicetype=1
精品纪录,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227461/index.m3u8?servicetype=1
精品萌宠,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227183/index.m3u8?servicetype=1
精品体育,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227470/index.m3u8?servicetype=1
军事观察,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227452/index.m3u8?servicetype=1
快乐垂钓,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221226940/index.m3u8?servicetype=1
龙,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221225862/index.m3u8?servicetype=1
龙,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227197/index.m3u8?servicetype=1
生态环境,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227494/index.m3u8?servicetype=1
先锋乒羽,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221226851/index.m3u8?servicetype=1
新动漫,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227498/index.m3u8?servicetype=1
